#PASSAGE	REFQ	GENQ	FLUENCY	RELEVANT	ANSWERABLE	SIMILAR
the book of discipline is the guidebook for local churches and pastors and describes in considerable detail the organizational structure of local united methodist churches . all um churches must have a board of trustees with at least three members and no more than nine members and it is recommended that no gender should hold more than a 2/3 majority . all churches must also have a nominations committee , a finance committee and a church council or administrative council . other committees are suggested but not required such as a missions committee , or evangelism or worship committee . term limits are set for some committees but not for all . the  church conference   is an annual meeting of all the officers of the church and any interested members . this committee has the exclusive power to set pastors ' salaries ( compensation packages for tax purposes ) and to elect officers to the committees .	which committee has the exclusive power to set pastors ' salaries ?	what is the name of the annual meeting of all the officers of the church ?	1.0	1.0	1.0	0.16666666666666666
the royal geographical society of london and other geographical societies in europe had great influence and were able to fund travelers who would come back with tales of their discoveries . these societies also served as a space for travellers to share these  stories.political   geographers such as friedrich ratzel of germany and halford mackinder of britain also supported imperialism . ratzel believed expansion was necessary for a state ’ s survival while mackinder supported britain ’ s imperial expansion ; these two arguments dominated the discipline for decades .	halford mackinder and friedrich ratzel where what kind of geographers ?	what type of stories did friedrich ratzel and halford mackinder share ?	1.0	1.0	0.6666666666666666	0.0
in 1952 , when the release of the fcc 's sixth report and order announced the end of its freeze on new station license applications , among the issues the commission was slated to address was whether to approve the upt-abc merger . one fcc commissioner saw the possibility of abc , funded by upt , becoming a viable and competitive third television network . on february 9 , 1953 , the fcc approved upt 's purchase of abc in exchange for $ 25 million in shares . the merged company , renamed american broadcasting-paramount theatres , inc. and headquartered in  the paramount building   at 1501 broadway in manhattan , owned six am and several fm radio stations , five television stations and 644 cinemas in 300 u.s. cities . to comply with fcc ownership restrictions in effect at the time that barred common ownership of two television stations in the same market , upt sold its chicago television station , wbkb-tv , to cbs ( which subsequently changed the station 's call letters to wbbm-tv ) for $ 6 million , while it kept abc 's existing chicago station , wenr-tv . the merged company acquired the wbkb call letters for channel 7 , which would eventually become wls-tv . goldenson began to sell some of the older theaters to help finance the new television network .	where was american broadcasting-paramount theatres , inc headquartered after the merger ?	where was american broadcasting - paramount theatres , inc . headquartered ?	1.0	1.0	1.0	0.5
the u.s. government has engaged in efforts to counter islamism , or violent islamism , since 2001. these efforts were centred in the u.s. around public diplomacy programmes conducted by the state department . there have been calls to create an independent agency in the u.s. with a specific mission of undermining islamism and jihadism . christian whiton , an official in the george w. bush administration , called for a new agency focused on the nonviolent practice of " political warfare " aimed at undermining the ideology . u.s. defense secretary robert gates called for establishing something similar to the defunct u.s. information agency , which was charged with  undermining the communist ideology   during the cold war .	what was the u.s. information agency charged with doing during the cold war ?	what was the us information agency charged with during the cold war ?	1.0	1.0	1.0	1.0
gamma delta t cells ( γδ t cells ) possess an alternative t cell receptor ( tcr ) as opposed to cd4+ and cd8+ ( αβ ) t cells and share the characteristics of helper t cells , cytotoxic t cells and nk cells . the conditions that produce responses from γδ t cells are not fully understood . like other 'unconventional ' t cell subsets bearing invariant tcrs , such as cd1d-restricted natural killer t cells , γδ t cells straddle the border between innate and adaptive immunity . on one hand , γδ t cells are a component of adaptive immunity as they rearrange tcr genes to produce receptor diversity and can also develop a memory phenotype . on the other hand , the various subsets are also part of the innate immune system , as restricted tcr or nk receptors may be used as pattern recognition receptors . for example , large numbers of human  vγ9/vδ2 t cells   respond within hours to common molecules produced by microbes , and highly restricted vδ1+ t cells in epithelia respond to stressed epithelial cells .	what kind of human t cells respond to common molecules produced by microbes ?	large numbers of what cells respond within hours to common molecules produced by microbes ?	1.0	1.0	1.0	1.0
the city is served by the tyne and wear metro , a system of suburban and underground railways covering much of tyne and wear . it was opened in five phases between 1980 and 1984 , and was britain 's first urban light rail transit system ; two extensions were opened in 1991 and 2002. it was developed from a combination of existing and newly built tracks and stations , with  deep-level   tunnels constructed through newcastle city centre . a bridge was built across the tyne , between newcastle and gateshead , and opened by queen elizabeth ii in 1981. the network is operated by db regio on behalf of nexus and carries over 37 million passengers a year , extending as far as newcastle airport , tynemouth , south shields and south hylton in sunderland . in 2004 , the company marconi designed and constructed the mobile radio system to the underground metro system . the metro system was the first in the uk to have mobile phone antennae installed in the tunnels .	what type of tunnels are constructed through newcastle 's city center ?	what type of tunnels did the tyne and wear metro use ?	1.0	1.0	1.0	0.0
the idea was to create a network of wholly and partially owned channels , and affiliates to rebroadcast the network 's programs . in 1959 , this rerun activity was completed with program syndication , with abc films selling programs to networks not owned by abc . the arrival of satellite television ended the need for abc to hold interests in other countries ; many governments also wanted to increase their independence and strengthen  legislation to limit foreign ownership of broadcasting properties   . as a result , abc was forced to sell all of its interests in international networks , mainly in japan and latin america , in the 1970s .	why was abc forced to sell its interests in international networks in the 70s ?	what did many governments want to strengthen ?	1.0	1.0	1.0	0.0
the 2005 version of doctor who is a direct plot continuation of the original 1963–1989 series [ note 2 ] and the  1996   telefilm . this is similar to the 1988 continuation of mission impossible , but differs from most other series relaunches which have either been reboots ( for example , battlestar galactica and bionic woman [ citation needed ] ) or set in the same universe as the original but in a different time period and with different characters ( for example , star trek : the next generation and spin-offs [ citation needed ] ) .	what year was the only film version of doctor who shown ?	which telefilm was a direct continuation of the 1963 - 1989 series ?	1.0	1.0	1.0	0.16666666666666666
currently , new jersey , rhode island and delaware are the only u.s. states where abc does not have a locally licensed affiliate ( new jersey is served by new york city o & o wabc-tv and philadelphia o & o wpvi-tv ; rhode island is served by new bedford , massachusetts-licensed wlne ; and delaware is served by wpvi and salisbury , maryland affiliate wmdt ) . abc maintains affiliations with low-power stations ( broadcasting either in analog or digital ) in a few markets , such as birmingham , alabama ( wbma-ld ) , lima , ohio (  wlqp-lp   ) and south bend , indiana ( wbnd-ld ) . in some markets , including the former two mentioned , these stations also maintain digital simulcasts on a subchannel of a co-owned/co-managed full-power television station .	what is the abc affiliate that serves lima , ohio ?	what is the name of lima , ohio ' s abc affiliate ?	1.0	1.0	1.0	1.0
jacksonville , like most large cities in the united states , suffered from negative effects of rapid urban sprawl after world war ii . the construction of highways led residents to move to newer housing in the suburbs . after world war ii , the government of the city of jacksonville began to increase spending to fund new public building projects in the boom that occurred after the war .  mayor w. haydon burns   ' jacksonville story resulted in the construction of a new city hall , civic auditorium , public library and other projects that created a dynamic sense of civic pride . however , the development of suburbs and a subsequent wave of middle class " white flight " left jacksonville with a much poorer population than before . the city 's most populous ethnic group , non-hispanic white , declined from 75.8 % in 1970 to 55.1 % by 2010 .	who was responsible for the new building projects in jacksonville ?	who was responsible for the construction of a new city hall ?	1.0	1.0	1.0	0.16666666666666666
rodin is represented by more than 20 works in the museum collection , making it one of the largest collections of the sculptor 's work outside france ; these were given to the museum by the sculptor in  1914   , as acknowledgement of britain 's support of france in world war i , although the statue of st john the baptist had been purchased in 1902 by public subscription . other french sculptors with work in the collection are hubert le sueur , françois girardon , michel clodion , jean-antoine houdon , jean-baptiste carpeaux and jules dalou .	in which year were rodin 's works given to the v & a ?	in what year were rodin ' s works given to the museum ?	1.0	1.0	1.0	0.6666666666666666
one of its earliest massive implementations was brought about by egyptians against the british occupation in the 1919 revolution . civil disobedience is one of the many ways people have rebelled against what they deem to be unfair laws . it has been used in many nonviolent resistance movements in india ( gandhi 's campaigns for independence from the british empire ) , in czechoslovakia 's velvet revolution and in east germany to oust their communist governments , in south africa in the fight against apartheid , in the american civil rights movement , in the singing revolution to bring independence to the baltic countries from the soviet union , recently with the 2003 rose revolution in  georgia   and the 2004 orange revolution in ukraine , among other various movements worldwide .	where was the location of the 2003 rose revolution ?	where was the rose revolution ?	1.0	1.0	1.0	0.6666666666666666
the musical instruments gallery closed 25 february  2010   , a decision which was highly controversial . an online petition of over 5,100 names on the parliamentary website led to chris smith asking parliament about the future of the collection . the answer , from bryan davies was that the museum intended to preserve and care for the collection and keep it available to the public , with items being redistributed to the british galleries , the medieval & renaissance galleries , and the planned new galleries for furniture and europe 1600–1800 , and that the horniman museum and other institutions were possible candidates for loans of material to ensure that the instruments remained publicly viewable . the horniman went on to host a joint exhibition with the v & a of musical instruments , and has the loan of 35 instruments from the museum .	in which year was the musical instruments gallery closed ?	in what year did the musical instruments gallery close ?	1.0	1.0	1.0	1.0
as of 2012 , quality private schools in the united states charged substantial tuition , close to $ 40,000 annually for day schools in new york city , and nearly $ 50,000 for boarding schools . however , tuition did not cover operating expenses , particularly at boarding schools . the leading schools such as the  groton school   had substantial endowments running to hundreds of millions of dollars supplemented by fundraising drives . boarding schools with a reputation for quality in the united states have a student body drawn from throughout the country , indeed the globe , and a list of applicants which far exceeds their capacity .	what notable private school has an endowment of several hundred million dollars ?	what school had endowments running to hundreds of millions of dollars ?	1.0	1.0	1.0	0.8333333333333334
in  2002   , the museum acquired the costiff collection of 178 vivienne westwood costumes . other famous designers with work in the collection include coco chanel , hubert de givenchy , christian dior , cristóbal balenciaga , yves saint laurent , guy laroche , irene galitzine , mila schön , valentino garavani , norman norell , norman hartnell , zandra rhodes , hardy amies , mary quant , christian lacroix , jean muir and pierre cardin . the museum continues to acquire examples of modern fashion to add to the collection .	when did the v & a acquired the costiff collection ?	in what year did the museum acquire the costiff collection ?	1.0	1.0	1.0	0.6666666666666666
there are several museums and galleries in newcastle , including the centre for life with its science village ; the discovery museum a museum highlighting life on tyneside , including tyneside 's shipbuilding heritage , and inventions which changed the world ; the great north museum ; in 2009 the newcastle on tyne museum of antiquities merged with the great north museum ( hancock museum ) ;  seven stories   a museum dedicated to children 's books , the side gallery historical and contemporary photography from around the world and northern england and the newburn hall motor museum .	what museum in newcastle is dedicated to children 's books ?	what museum is dedicated to children ' s books ?	1.0	1.0	1.0	0.6666666666666666
the university experienced its share of student unrest during the 1960s , beginning in 1962 , when students occupied president george beadle 's office in a protest over the university 's off-campus rental policies . after continued turmoil , a university committee in  1967   issued what became known as the kalven report . the report , a two-page statement of the university 's policy in " social and political action , " declared that " to perform its mission in the society , a university must sustain an extraordinary environment of freedom of inquiry and maintain an independence from political fashions , passions , and pressures . " the report has since been used to justify decisions such as the university 's refusal to divest from south africa in the 1980s and darfur in the late 2000s .	in what year was the kalven report issued ?	in what year was the kalven report issued ?	1.0	1.0	1.0	1.0
the country 's literacy level stands at 85 % of the whole population . preschool , which targets children from age three to five , is an integral component of the education system and is  a key requirement for admission to standard one ( first grade )   . at the end of primary education , pupils sit the kenya certificate of primary education ( kcpe ) , which determines those who proceed to secondary school or vocational training . the result of this examination is needed for placement at secondary school . primary school age is 6/7-13/14 years . for those who proceed to secondary level , there is a national examination at the end of form four – the kenya certificate of secondary education ( kcse ) , which determines those proceeding to the universities , other professional training or employment . students sit examinations in eight subjects of their choosing . however , english , kiswahili ( languages ) and mathematics are compulsory subjects .	what is preschool required for ?	what is the importance of preschool in kenya ?	1.0	1.0	1.0	0.3333333333333333
there are a set of beautiful inlaid doors , dated 1580 from antwerp city hall , attributed to  hans vredeman de vries   . one of the finest pieces of continental furniture in the collection is the rococo augustus rex bureau cabinet dated c1750 from germany , with especially fine marquetry and ormolu mounts . one of the grandest pieces of 19th-century furniture is the highly elaborate french cabinet dated 1861–1867 made by m. fourdinois , made from ebony inlaid with box , lime , holly , pear , walnut and mahogany woods as well as marble with gilded carvings . furniture designed by ernest gimson , edward william godwin , charles voysey , adolf loos and otto wagner are among the late 19th-century and early 20th-century examples in the collection . the work of modernists in the collection include le corbusier , marcel breuer , charles and ray eames , and giò ponti .	to whom has the antwerp city hall doors in the v & a collection been attributed ?	who is the inlaid doors attributed to ?	0.6666666666666666	1.0	1.0	0.3333333333333333
past faculty have also included egyptologist  james henry breasted   , mathematician alberto calderón , nobel prize winning economist and classical liberalism defender friedrich hayek , meteorologist ted fujita , chemists glenn t. seaborg , the developer of the actinide concept and nobel prize winner yuan t. lee , nobel prize winning novelist saul bellow , political philosopher and author allan bloom , cancer researchers charles brenton huggins and janet rowley , astronomer gerard kuiper , one of the most important figures in the early development of the discipline of linguistics edward sapir , and the founder of mckinsey & co. , james o. mckinsey .	what egyptologist was also apart of the university 's faculty ?	which egyptologist is a former faculty member of the university of kansas ?	1.0	0.3333333333333333	0.3333333333333333	0.5
following the conquest of dali in  1253   , the former ruling duan dynasty were appointed as governors-general , recognized as imperial officials by the yuan , ming , and qing-era governments , principally in the province of yunnan . succession for the yuan dynasty , however , was an intractable problem , later causing much strife and internal struggle . this emerged as early as the end of kublai 's reign . kublai originally named his eldest son , zhenjin , as the crown prince , but he died before kublai in 1285. thus , zhenjin 's third son , with the support of his mother kökejin and the minister bayan , succeeded the throne and ruled as temür khan , or emperor chengzong , from 1294 to 1307. temür khan decided to maintain and continue much of the work begun by his grandfather . he also made peace with the western mongol khanates as well as neighboring countries such as vietnam , which recognized his nominal suzerainty and paid tributes for a few decades . however , the corruption in the yuan dynasty began during the reign of temür khan .	when was dali conquered by the yuan ?	when did the duan dynasty conquer dali ?	1.0	1.0	0.6666666666666666	0.6666666666666666
british settlers outnumbered the french 20 to 1 with a population of about 1.5 million ranged along the eastern coast of the continent ,  from nova scotia and newfoundland in the north , to georgia in the south   . many of the older colonies had land claims that extended arbitrarily far to the west , as the extent of the continent was unknown at the time their provincial charters were granted . while their population centers were along the coast , the settlements were growing into the interior . nova scotia , which had been captured from france in 1713 , still had a significant french-speaking population . britain also claimed rupert 's land , where the hudson 's bay company traded for furs with local tribes .	where did british settlers live ?	where did the british settlers live on the eastern coast of north america ?	1.0	1.0	1.0	0.3333333333333333
premiering the day after the assassination of john f. kennedy , the first episode of doctor who was repeated with the second episode the following week . doctor who has always appeared initially  on the bbc 's mainstream bbc one channel   , where it is regarded as a family show , drawing audiences of many millions of viewers ; episodes are now repeated on bbc three . the programme 's popularity has waxed and waned over the decades , with three notable periods of high ratings . the first of these was the " dalekmania " period ( circa 1964–1965 ) , when the popularity of the daleks regularly brought doctor who ratings of between 9 and 14 million , even for stories which did not feature them . the second was the late 1970s , when tom baker occasionally drew audiences of over 12 million .	where have the first episodes of doctor who always appeared ?	where has doctor who always appeared ?	1.0	1.0	1.0	0.16666666666666666
undergraduate admission to harvard is characterized by the carnegie foundation as " more selective , lower transfer-in " . harvard college accepted 5.3 % of applicants for the class of 2019 , a record low and the second lowest acceptance rate among all national universities . harvard college ended its early admissions program in 2007 as the program was believed to disadvantage low-income and under-represented minority applicants applying to selective universities , yet for the class of  2016   an early action program was reintroduced .	in what year was an early admission program reintroduced ?	in what year was an early action program reintroduced ?	1.0	1.0	1.0	0.6666666666666666
in the philippines , the private sector has been a major provider of educational services , accounting for about 7.5 % of primary enrollment , 32 % of secondary enrollment and about 80 % of tertiary enrollment . private schools have proven to be efficient in resource utilization . per unit costs in private schools are generally lower when compared to public schools . this situation is more evident at the tertiary level . government regulations have given private education more flexibility and autonomy in recent years , notably by lifting the moratorium on applications for new courses , new schools and conversions , by liberalizing tuition fee policy for private schools , by replacing values education for third and fourth years with english , mathematics and  natural science   at the option of the school , and by issuing the revised manual of regulations for private schools in august 1992 .	along with english and mathematics , what subject replaced values education for fourth year students ?	along with english and mathematics , what subject was replaced with values education in the philippines ?	1.0	0.6666666666666666	0.3333333333333333	0.3333333333333333
the 2005 version of doctor who is a direct plot continuation of the original 1963–1989 series [ note 2 ] and the 1996 telefilm . this is similar to the 1988 continuation of mission impossible , but differs from most other series relaunches which have either been reboots ( for example ,  battlestar galactica and bionic woman   [ citation needed ] ) or set in the same universe as the original but in a different time period and with different characters ( for example , star trek : the next generation and spin-offs [ citation needed ] ) .	name two series that have been reboots rather than plot continuations .	what are two examples of reboots of doctor who ?	1.0	1.0	0.6666666666666666	0.3333333333333333
temüjin began his ascent to power by offering himself as an ally ( or , according to other sources , a vassal ) to his father 's anda ( sworn brother or blood brother ) toghrul , who was khan of  the keraites   , and is better known by the chinese title " wang khan " , which the jurchen jin dynasty granted him in 1197. this relationship was first reinforced when börte was captured by the merkits . temüjin turned to toghrul for support , and in response , toghrul offered his vassal 20,000 of his keraite warriors and suggested that he also involve his childhood friend jamukha , who had himself become khan ( ruler ) of his own tribe , the jadaran .	what tribe did toghrul lead ?	toghrul was the khan of what tribe ?	1.0	1.0	1.0	0.8333333333333334
the historian frederick w. mote wrote that the usage of the term " social classes " for this system was misleading and that the position of people within the four-class system was not an indication of their actual social power and wealth , but just entailed " degrees of privilege " to which they were entitled institutionally and legally , so a person 's standing within the classes was not a guarantee of their standing , since there were  rich and well socially standing   chinese while there were less rich mongol and semu than there were mongol and semu who lived in poverty and were ill treated .	there were many chinese with what unexpected status ?	what type of chinese were considered to be in the four class system ?	1.0	1.0	1.0	0.16666666666666666
after malaysia 's independence in 1957 , the government instructed all schools to surrender their properties and be assimilated into the  national school   system . this caused an uproar among the chinese and a compromise was achieved in that the schools would instead become " national type " schools . under such a system , the government is only in charge of the school curriculum and teaching personnel while the lands still belonged to the schools . while chinese primary schools were allowed to retain chinese as the medium of instruction , chinese secondary schools are required to change into english-medium schools . over 60 schools converted to become national type schools .	what is the name of the post-independence government school system in malaysia ?	what type of school system did the government want all schools to become ?	1.0	1.0	1.0	0.3333333333333333
there are over 10,000 objects made from silver or gold in the collection , the display ( about 15 % of the collection ) is divided into  secular and sacred   covering both christian ( roman catholic , anglican and greek orthodox ) and jewish liturgical vessels and items . the main silver gallery is divided into these areas : british silver pre-1800 ; british silver 1800 to 1900 ; modernist to contemporary silver ; european silver . the collection includes the earliest known piece of english silver with a dated hallmark , a silver gilt beaker dated 1496–97 . silversmiths ' whose work is represented in the collection include paul de lamerie and paul storr whose castlereagh inkstand dated 1817–19 is one of his finest works . the main iron work gallery covers european wrought and cast iron from the mediaeval period to the early 20th century . the master of wrought ironwork jean tijou is represented by both examples of his work and designs on paper . one of the largest items is the hereford screen , weighing nearly 8 tonnes , 10.5 metres high and 11 metres wide , designed by sir george gilbert scott in 1862 for the chancel in hereford cathedral , from which it was removed in 1967. it was made by skidmore & company . its structure of timber and cast iron is embellished with wrought iron , burnished brass and copper . much of the copper and ironwork is painted in a wide range of colours . the arches and columns are decorated with polished quartz and panels of mosaic .	the silver and gold collection of the v & a is divided into which categories ?	what two types of display are there in the museum ?	1.0	1.0	0.6666666666666666	0.5
the parish church of st andrew   is traditionally recognised as 'the oldest church in this town ' . the present building was begun in the 12th century and the last addition to it , apart from the vestries , was the main porch in 1726. it is quite possible that there was an earlier church here dating from saxon times . this older church would have been one of several churches along the river tyne dedicated to st andrew , including the priory church at hexham . the building contains more old stonework than any other church in newcastle . it is surrounded by the last of the ancient churchyards to retain its original character . many key names associated with newcastle 's history worshipped and were buried here . the church tower received a battering during the siege of newcastle by the scots who finally breached the town wall and forced surrender . three of the cannonballs remain on site as testament to the siege .	which parish church in newcastle is typically agreed to be the oldest one in town ?	what is traditionally recognised as ' the oldest church in this town ' ?	1.0	1.0	1.0	0.6666666666666666
in 1934 , mutual filed a complaint with the federal communications commission ( fcc ) regarding its difficulties in establishing new stations , in a radio market that was already being saturated by nbc and cbs . in  1938   , the fcc began a series of investigations into the practices of radio networks and published its report on the broadcasting of network radio programs in 1940. the report recommended that rca give up control of either nbc red or nbc blue . at that time , the nbc red network was the principal radio network in the united states and , according to the fcc , rca was using nbc blue to eliminate any hint of competition . having no power over the networks themselves , the fcc established a regulation forbidding licenses to be issued for radio stations if they were affiliated with a network which already owned multiple networks that provided content of public interest .	in what year did the fcc begin an investigation in to the operation of radio networks in america	in what year did the fcc begin investigating radio networks ?	1.0	1.0	1.0	0.8333333333333334
some elements of the brotherhood , though perhaps against orders , did engage in violence against the government , and its founder al-banna was assassinated in 1949 in retaliation for the assassination of  egypt 's premier mahmud fami naqrashi   three months earlier . the brotherhood has suffered periodic repression in egypt and has been banned several times , in 1948 and several years later following confrontations with egyptian president gamal abdul nasser , who jailed thousands of members for several years .	who was al-banna 's assassination a retaliation for the prior assassination of ?	who was assassinated three months after al - banna ' s assassination ?	1.0	1.0	0.3333333333333333	0.3333333333333333
these studies were widely presented as demonstrating that the current warming period is exceptional in comparison to temperatures between 1000 and 1900 , and the mbh99 based graph featured in publicity . even at the draft stage , this finding was disputed by contrarians : in may 2000 fred singer 's science and environmental policy project held a press event on capitol hill , washington , d.c. , featuring comments on the graph wibjörn karlén and singer argued against the graph at a united states senate committee on commerce , science and transportation hearing on  18 july 2000.   contrarian john lawrence daly featured a modified version of the ipcc 1990 schematic , which he mis-identified as appearing in the ipcc 1995 report , and argued that " overturning its own previous view in the 1995 report , the ipcc presented the 'hockey stick ' as the new orthodoxy with hardly an apology or explanation for the abrupt u-turn since its 1995 report " . criticism of the mbh99 reconstruction in a review paper , which was quickly discredited in the soon and baliunas controversy , was picked up by the bush administration , and a senate speech by us republican senator james inhofe alleged that " manmade global warming is the greatest hoax ever perpetrated on the american people " . the data and methodology used to produce the " hockey stick graph " was criticized in papers by stephen mcintyre and ross mckitrick , and in turn the criticisms in these papers were examined by other studies and comprehensively refuted by wahl & ammann 2007 , which showed errors in the methods used by mcintyre and mckitrick .	when did singer dispute the graph at a senate hearing ?	when did fred singer argue against the graph at a us senate hearing ?	1.0	1.0	1.0	0.8333333333333334
to better illustrate this idea , bassett focuses his analysis of the role of nineteenth-century maps during the " scramble for africa " . he states that maps " contributed to empire by promoting , assisting , and legitimizing the extension of french and british power into west africa " . during his analysis of nineteenth-century cartographic techniques , he highlights the use of blank space to denote unknown or unexplored territory . this provided incentives for imperial and colonial powers to obtain " information to fill in  blank spaces on contemporary maps   " .	what provided an incentive to western empires to colonize africa ?	what provided incentives for imperial and colonial powers to obtain information to fill ?	0.5	1.0	0.6666666666666666	0.16666666666666666
both b cells and t cells carry receptor molecules that recognize specific targets . t cells recognize a " non-self " target , such as a pathogen , only after antigens ( small fragments of the pathogen ) have been processed and presented in combination with a " self " receptor called a major histocompatibility complex ( mhc ) molecule . there are two major subtypes of t cells : the killer t cell and the helper t cell . in addition there are regulatory t cells which have a role in modulating immune response . killer t cells only recognize antigens coupled to class i mhc molecules , while helper t cells and regulatory t cells only recognize antigens coupled to  class ii mhc molecules   . these two mechanisms of antigen presentation reflect the different roles of the two types of t cell . a third , minor subtype are the γδ t cells that recognize intact antigens that are not bound to mhc receptors .	helper and regulatory t cells can only recognize antigens coupled to what kind of molecules ?	helper t cells only recognize antigens coupled to what type of molecules ?	1.0	1.0	1.0	0.8333333333333334
the correlation between capitalism , aristocracy , and imperialism has long been debated among historians and political theorists . much of the debate was pioneered by such theorists as j. a. hobson ( 1858–1940 ) , joseph schumpeter ( 1883–1950 ) , thorstein veblen ( 1857–1929 ) , and norman angell ( 1872–1967 ) . while these non-marxist writers were at their most prolific  before world war i   , they remained active in the interwar years . their combined work informed the study of imperialism and it 's impact on europe , as well as contributed to reflections on the rise of the military-political complex in the united states from the 1950s . hobson argued that domestic social reforms could cure the international disease of imperialism by removing its economic foundation . hobson theorized that state intervention through taxation could boost broader consumption , create wealth , and encourage a peaceful , tolerant , multipolar world order .	when were joseph schumpeter and norman angell at their most prolific writing period ?	when were non - marxist writers at their most prolific ?	0.8333333333333334	1.0	1.0	0.16666666666666666
the immune system is a system of many biological structures and processes within an organism that protects against disease . to function properly , an immune system must detect a wide variety of agents , known as pathogens , from viruses to parasitic worms , and distinguish them from the organism 's own healthy tissue . in many species , the immune system can be classified into subsystems , such as the  innate immune system versus the adaptive immune system   , or humoral immunity versus cell-mediated immunity . in humans , the blood–brain barrier , blood–cerebrospinal fluid barrier , and similar fluid–brain barriers separate the peripheral immune system from the neuroimmune system which protects the brain .	what are two of its subsystems ?	what are two subsystems of the immune system ?	1.0	1.0	1.0	0.5
in  1755   , six colonial governors in north america met with general edward braddock , the newly arrived british army commander , and planned a four-way attack on the french . none succeeded and the main effort by braddock was a disaster ; he was defeated in the battle of the monongahela on july 9 ,  1755   and died a few days later . british operations in  1755   , 1756 and 1757 in the frontier areas of pennsylvania and new york all failed , due to a combination of poor management , internal divisions , and effective canadian scouts , french regular forces , and indian warrior allies . in  1755   , the british captured fort beauséjour on the border separating nova scotia from acadia ; soon afterward they ordered the expulsion of the acadians . orders for the deportation were given by william shirley , commander-in-chief , north america , without direction from great britain . the acadians , both those captured in arms and those who had sworn the loyalty oath to his britannic majesty , were expelled . native americans were likewise driven off their land to make way for settlers from new england .	when did colonial governors meet with general edward braddock about attack on the french ?	in what year did the british capture fort beausejour ?	1.0	1.0	1.0	0.0
in the arts and entertainment , minimalist composer philip glass , dancer , choreographer and leader in the field of dance anthropology katherine dunham , bungie founder and developer of the halo video game series alex seropian , serial host sarah koenig , actor  ed asner   , pulitzer prize for criticism winning film critic and the subject of the 2014 documentary film life itself roger ebert , director , writer , and comedian mike nichols , film director and screenwriter philip kaufman , and carl van vechten , photographer and writer , are graduates .	what american actor is also a university graduate ?	which pulitzer prize for criticism winning actor attended the university of kansas ?	1.0	0.6666666666666666	0.0	0.0
other than the curriculum led learning , there are also national and public library services led by the kenya national library service ( knls ) . knls is the body mandated to establish , equip , manage and maintain national and public libraries in the country . in addition , some of the counties within the country have either established or taken over libraries within their regions . nairobi county operates four libraries within their network , which included the mcmillan memorial library located at the central business district of nairobi . a public library is seen as  a peoples university   since it is open to all irrespective of age , literacy level and has materials relevant to people of all walks of life .	what is the public library seen as to kenyans ?	what type of university is a public library in kenya ?	0.6666666666666666	1.0	1.0	0.5
the iroquois sent runners to the manor of william johnson in upstate new york . the british superintendent for indian affairs in the new york region and beyond , johnson was known to the iroquois as warraghiggey , meaning " he who does great things . " he spoke their languages and had become a respected honorary member of the iroquois confederacy in the area . in 1746 , johnson was made a colonel of the iroquois . later he was commissioned as a colonel of the western new york militia . they met at albany , new york with governor clinton and officials from some of the other american colonies .  mohawk chief hendrick   , speaker of their tribal council , insisted that the british abide by their obligations and block french expansion . when clinton did not respond to his satisfaction , chief hendrick said that the " covenant chain " , a long-standing friendly relationship between the iroquois confederacy and the british crown , was broken .	who was the speaker of the tribal council ?	who was the speaker of the iroquois tribal council ?	1.0	1.0	1.0	0.6666666666666666
neutrophils and macrophages   are phagocytes that travel throughout the body in pursuit of invading pathogens . neutrophils are normally found in the bloodstream and are the most abundant type of phagocyte , normally representing 50 % to 60 % of the total circulating leukocytes . during the acute phase of inflammation , particularly as a result of bacterial infection , neutrophils migrate toward the site of inflammation in a process called chemotaxis , and are usually the first cells to arrive at the scene of infection . macrophages are versatile cells that reside within tissues and produce a wide array of chemicals including enzymes , complement proteins , and regulatory factors such as interleukin 1. macrophages also act as scavengers , ridding the body of worn-out cells and other debris , and as antigen-presenting cells that activate the adaptive immune system .	what are two types of phagocytes that travel through the body to find invading pathogens ?	what types of phagocytes travel throughout the body in pursuit of invading pathogens ?	1.0	1.0	1.0	1.0
current faculty include the anthropologist marshall sahlins , historian dipesh chakrabarty , paleontologists neil shubin and paul sereno , evolutionary biologist jerry coyne , nobel prize winning physicist yoichiro nambu , nobel prize winning physicist james cronin , nobel prize winning economists eugene fama , james heckman , lars peter hansen , roger myerson and robert lucas , jr. , freakonomics author and noted economist steven levitt , current governor of india 's central bank raghuram rajan , the 74th united states secretary of the treasury and former goldman sachs chairman and ceo hank paulson , former chairman of president barack obama 's council of economic advisors austan goolsbee , shakespeare scholar  david bevington   , and renowned political scientists john mearsheimer and robert pape .	what shakespeare scholar is currently on the university 's faculty ?	which shakespeare scholar is on the faculty of the university of kansas ?	1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333
much of the work of the scottish parliament is done in committee . the role of committees is stronger in the scottish parliament than in other parliamentary systems , partly as a means of strengthening the role of backbenchers in their scrutiny of the government and partly to compensate for the fact that there is  no revising chamber   . the principal role of committees in the scottish parliament is to take evidence from witnesses , conduct inquiries and scrutinise legislation . committee meetings take place on tuesday , wednesday and thursday morning when parliament is sitting . committees can also meet at other locations throughout scotland .	what is one avenue being compensated for by having committees serve such a large role ?	why does the scottish parliament have committees ?	1.0	1.0	1.0	0.0
